Gap Name	Opp Segment	Opportunity	Deal Motion	Product Line	Product Area	Product Capability	Severity Score	Severity	Is Industry Gap	Is International Gap	Created By	Created Date	CI Notes Header	ACV Bin	Opportunity Stage 	Brainstorm	CI Notes	Opp Close Date	Functionality Requirement	Headliner Feature	Gap ID	Industry Specific Gap Detail	Available Capability	Pain point(s)	Proposed Solution	Country Specific Gap Detail	Opp Pipeline Stage	Gap Summary	Type of Gap	Gap Status	Opp ID	Acct Super Industry	# Gaps
PG-00013000	North America	Stifel Financial - HCM & Payroll	Prospect - Land with Core	Talent Management	Talent Acquisition		3	Risk of Removal of SKU from Deal (3)	No	No	Sarah Collins	03/18/2026	No CI Notes	ACV 500(K) to 5000(K)	Open			28/08/2026	Group would like to use some of the same questions across various job requisitions. If a candidate applies to multiple roles that contain the same questions they do not want the candidate to have to answer the question again.	Application Questionnaire	aTEVT0000003WD34AM	 		Candidate experience.			4- Pre-Close			Open	006VT00000M0tW5YAJ	Financial Services	1
PG-00012930	North America	Aritzia - JRNY, XTND	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Candidates and Prospects;Compliance and Data Privacy;External Preboarding - Talent Acquisition;Offers and Employment Agreements	4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Simon Lafontaine	03/13/2026	No CI Notes	ACV 0(K) to 300(K)	Open			31/12/2026	Aritzia has many permanent/short-term domestic/international relocations as part of their recruiting effort.  When that happens they need an easy way to identify and track the data related to this.  For example, details around the relocation, visa/passport information, type of compensation and benefits (allowances, real estate assistance, moving assistance, etc).  That data often needs to then be included in the offer letter.	Need better functionalities to track relocation	aTEVT0000003UO94AM	 		Manual tracking today			0- Pre-qualify		Feature	Open	006VT00000lBubhYAC	Retail	1
PG-00012912	North America	Avesis - Paradox and HiredScore	Core Customer - Expand with Non-Core	Talent Management	Talent Acquisition		4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Aggie Reyes	03/12/2026	CI Notes	ACV 0(K) to 300(K)	Open		Fountain, Phenom, others...	30/11/2026	"1) AI for Scribing -- want HMs/RECs to spend more time and attention to personalizing and getting to know candidate than writing down notes. Looking essentially for AI transcribing/summarizing of notes. We talked about Interview Feedback AI Summaries but not much the scribing/transcribing inside of Recruiting.
2) AI Voice Agent for interviews, want a bot to join calls to ask questions and evaluate or assess candidates. Less work and time for REC/HMs in the process. They seem to be exploring other options already, but would definitely raise concern in ADT/OFCCP realm. I would also be surprised that candidates LIKE that experience."	AI for Scribing Interview notes and AI Voice Agent for hosting/evaluating interviews	aTEVT0000003Tv74AE	 		Time is being taken away from HMs/Recruiters to conduct interviews and take diligent notes-- they want to spend time with high QUALITY candidates rather than the transactional, and quantity-driven engagements.	We discussed recorded interviews with Paradox		Develop		Artificial Intelligence (AI)	Open	006VT00000lB5e1YAC	Healthcare	1
PG-00012779	North America	Lathrop GPM - LDP: HCM, BEN, Benefits Bridge, TT, AM, USP, REC, TLO, ACM	Prospect - Land with Core	Talent Management	Talent Acquisition	Job Application Process	3	Risk of Removal of SKU from Deal (3)	Yes	No	Jake McCurdy	02/27/2026	CI Notes	ACV 0(K) to 300(K)	Open		Law firms expect a seamless candidate experience where applicants can upload multiple document types, similar to VIRecruit. Current experience may feel less intuitive compared to competitors that allow structured multi-document uploads natively.	23/06/2026	Enable candidates to upload multiple document types, such as cover letters, writing samples, transcripts, and deal sheets, as easily as a resume during the standard application flow. These documents should be stored as distinct, structured document categories on the candidate and worker profile for easy visibility, reporting, and downstream use.	Structured Multi-Document Upload for Candidates	aTEVT0000003QUD4A2	Law Firms expect candidates to be able to seamlessly upload additional documents (transcripts, cover letters, writing samples).		Law firms routinely require additional documents beyond a resume. The current workaround of collecting these via questionnaire attachments creates a clunky candidate experience and results in documents being buried within the profile.	Introduce native support for structured multi-document uploads within the core application process. Allow configurable document categories that surface clearly on the candidate and worker profile, ensuring easy access for recruiters and consistent storage for long-term recordkeeping.		3- Engage		Feature	Open	006VT00000OnYXNYA3	Professional & Business Services	1
PG-00012778	North America	Banner Health - Paradox & Wday Learn Powered by Sana	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Background Checks and References;Candidate Job Application Flow;Compliance and Data Privacy;Interviews	4	Requires a 3rd Party Partner or Custom Solution (4)	Yes	No	Aggie Reyes	02/27/2026	CI Notes	ACV 300(K) to 500(K)	Open		Salesforce custom built apps	06/10/2026	"For Physician recruiting, they require site tracking which extends beyond just interview scheduling. The site tracking components include: virtual site visit and planning session with physician, actual site visit, compliance forms being sent and returned, travel booking, site visit guides and materials, interview feedback, and candidate surveys. The compliance forms, called STARK, communicate to physician 1) site expectations and agenda 2) acknowledgement of expectations and costs not covered, 3) form to signify they do work with Medicaid/Medicare.

A custom BP for this would probably be the most ideal situation to orchestrate the forms, acknowledgements, commmunications, integrations, interview scheduling, etc."	Site tracking capabilities	aTEVT0000003QSb4AM	Healthcare Industry, Physician Recruiting, Site Tracking		Working in a 3rd party system, somewhat manual	Extend custom built app and/or Paradox interview scheduling (travel indication, complex interview scheduling, interview prep, surveys_		2- Discover		Business Process	Open	006VT00000jyz3WYAQ	Healthcare	1
PG-00012776	North America	Banner Health - Paradox & Wday Learn Powered by Sana	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Career Sites	4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Aggie Reyes	02/27/2026	CI Notes	ACV 300(K) to 500(K)	Open		Paradox, Phenom	06/10/2026	When you google search for jobs, today with Workday hosted search and apply, the workday logo ends up being shown to the candidate rather than the customer's own logo	Google Scraping Workday vs Customer Logo	aTEVT0000003QPN4A2	 		Doesn't communicate brand	Paradox		2- Discover		Integration	Open	006VT00000jyz3WYAQ	Healthcare	1
PG-00012752	North America	Miratech Corp - HCM Suite, Payroll & Paradox	Prospect - Land with Core	Talent Management	Talent Acquisition	Job Requisitions	5	Tolerable, but Requires Some Manual Effort (5)	No	No	Alyson Tamblyn	02/27/2026	No CI Notes	ACV 0(K) to 300(K)	Open			20/07/2026	Managers create their job requisitions and job descriptions, so they would like to see a combo of both AI JD and Start Job Req	"AI for Job Descriptions on ""Start Job Requisition"" task"	aTEVT0000003Pmf4AE	 		Job Description Maintenance, Manager Self-Service	None at this time; managers use full page version		3- Engage		Artificial Intelligence (AI)	Open	006VT00000mlFmLYAU	Energy & Utilities	1
PG-00012657	North America	A.O. Smith_CHCM,USP,REC,LRN	Prospect - Land with Core	Talent Management	Talent Acquisition	Career Sites;Job Postings	4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Kelli Kern Parks	02/24/2026	No CI Notes	ACV 500(K) to 5000(K)	Open			22/01/2027	Mentioned that they were slightly disappointed they'd have to keep Broadbean as they job board scraper	Mentioned that they were slightly disappointed they'd have to keep Broadbean as they job board scraper	aTEVT0000003NJR4A2	 		Additional cost, not going to be able to replace that piece.	Stick with Broadbean as their partner for job boards		2- Discover		Feature	Open	006VT00000dfc4VYAQ	Manufacturing	1
PG-00012622	North America	Epcon Communities - Workday GO HR, LRN, REC, BB	Prospect - Land with Core	Talent Management	Talent Acquisition	Candidates and Prospects	4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Brian Nguyen	02/23/2026	CI Notes	ACV 0(K) to 300(K)	Open		Other ATS systems also have this capability native.	14/08/2026	This group wants to be able to schedule interviews with both their internal teams and their external candidates without having to manage a seperate calendar or availability tracker outside of workday.	Candidate Scheduling	aTEVT0000003MOz4AM	 		Disparate systems needed and siloed experience when recruiters are going through and scheduling interviews.			3- Engage		Feature	Open	006VT00000mCMh3YAG	Professional & Business Services	1
PG-00012601	North America	SymphonyAI - HCM + PAY + BEN + ADV COMP + WFP + PEAKON +	Prospect - Land with Core	Talent Management	Talent Acquisition	Candidate Job Application Flow;Job Application Process	4	Requires Significant Manual and/or Costly Workaround (4)	No	No	Leigh Ann Irwin	02/20/2026	CI Notes	ACV 300(K) to 500(K)	Open		LinkedIn Quick Apply	15/04/2026	would like the Linkedin quick apply feature enabled for Workday recruiting.	Need LinkedIn Quick Apply	aTEVT0000003Lr74AE	 		not a seamless way to quickly apply from LinkedIn like other ATS vendors.	None: Manual apply or paradox olivia quick apply.		4- Pre-Close		Integration	Open	0064X00002SGphjQAD	Technology & Media	1
PG-00012599	North America	CF_ISD HR Modernization (Phase-1) Recruiting & On-Boarding	Prospect - Land with Core	Talent Management	Talent Acquisition	Candidate Job Application Flow;Candidates and Prospects	5	Tolerable, but Requires Some Manual Effort (5)	No	No	Joanne Hilty	02/20/2026	No CI Notes	ACV 300(K) to 500(K)	Open			19/03/2027	When a candidate replies to an email sent to them by HR/recruiter/mgr, they want the reply to be tracked within Workday rather than in the individual's external email.	Candidate email reply tracking within Workday	aTEVT0000003Lnt4AE	Public Sector		It requires the User to copy/paste and/or attach email communications in WD.			0- Pre-qualify	Candidate email reply tracking within Workday	Feature	Open	006VT00000mnikDYAQ	Education	1
PG-00012583	North America	Port of Portland Platform	Prospect - Land with Core	Talent Management	Talent Acquisition	Candidate Job Application Flow;Communications and Notifications	4	Requires Significant Manual and/or Costly Workaround (4)	No	No	Katie Forsman	02/19/2026	No CI Notes	ACV 500(K) to 5000(K)	Open			15/07/2026	Ability for candidate to login to their candidate home and attach a new document. Candidates will have updated certifications, forget to attach their DD214, etc. and need to be able to have the capability to attach new documents.	Candidates Attach Documents after applying	aTEVT0000003LO54AM	 	Representative Capability is not in list	Candidate is not able to do this. Must be manually uploaded by the recruiter	Described work around where they can add additional steps into the application process for the candidate to attach documents. Issue is that this has to be pushed out as part of the BP and pre-configured. Cannot be done on the fly.		5- Selected		Feature	Open	0064X00002IdrKkQAJ	Public Sector	1
PG-00012522	APAC	CPL + HCM	Non-Core Customer - Expand with Core	Talent Management	Talent Acquisition	Interviews;Job Postings	1	Significantly Contributed to Deal Loss (1)	No	Yes	Brook Foy	02/17/2026	No CI Notes	ACV 0(K) to 300(K)	Lost			20/03/2026	Direct integration to Seek and LinkedIn as major job boards in region; currently not supported except by Veritone integration which is additional cost and complexity.	Lack of Seek and LinkedIn integration	aTEVT0000003Jnh4AE	 		Disability provider coming to market for HCM, led largely by their recruiting & talent team. They elected to go with competitor products due to the extra cost and work involved in their volume job posting requirements - competitors provided native job posting, and WD can only deliver this through Veritone partnership.	Build the Seek/LinkedIn job posting integration to level the playing field		30- Closed/Lost to Competition		Integration	Open	006VT00000eSAQPYA4	Healthcare	1
PG-00012518	APAC	IAG HCM Opportunity	Prospect - Land with Core	Talent Management	Talent Acquisition	Interviews;Job Postings	1	Significantly Contributed to Deal Loss (1)	No	Yes	Brook Foy	02/17/2026	No CI Notes	ACV 0(K) to 300(K)	Closed			15/09/2026	Direct integration to Seek and LinkedIn as major job boards in region; currently not supported except by Veritone integration which is additional cost and complexity.	Lack of Seek and LinkedIn integration	aTEVT0000003JhF4AU	 		IAG were conducting an HCM review, led largely by their recruiting & talent team. They elected to go with competitor products due to the extra cost and work involved in their volume job posting requirements - competitors provided native job posting, and WD can only deliver this through Veritone partnership			50- Closed/Historical Data Only		Integration	Open	006VT00000cJR9vYAG	Healthcare	1
PG-00012517	APAC	Qantas Airways Limited-FY29	Core - Renewal Uplift	Talent Management	Talent Acquisition		1	Significantly Contributed to Removal of SKU (1)	No	Yes	Brook Foy	02/17/2026	No CI Notes	ACV 500(K) to 5000(K)	Open			29/07/2028	Direct integration to Seek and LinkedIn as major job boards in region; currently not supported except by Veritone integration which is additional cost and complexity.	SEEK integration not supported with additional Veritone purchase/licensing	aTEVT0000003Jfd4AE	 		Qantas have dropped Workday Recruiting and gone to SmartRecruiters due in large part to our ongoing inability to support their job posting requirements without the use of Veritone.	Integration with LinkedIn and Seek job boards in line with competitor capability		0- Upcoming		Integration	Open	006VT00000YfbzTYAR	Hospitality	1
PG-00012515	APAC	BlueScope Steel - HCM, AM, TT, PRA, REC, AIRC, TLO, CCTPP	Prospect - Land with Core	Talent Management	Talent Acquisition	Job Postings	1	Significantly Contributed to Removal of SKU (1)	No	Yes	Brook Foy	02/17/2026	No CI Notes	ACV 500(K) to 5000(K)	Open			15/10/2026	Direct integration to Seek and LinkedIn as major job boards in region; currently not supported except by Veritone integration which is additional cost and complexity.	SEEK integration not supported with additional Veritone purchase/licensing	aTEVT0000003JcP4AU	 		Broadbean/Veritone is required add-on for every Workday Recruiting SKU sold. They don't want to use it to push jobs to hundreds of career sites - they only want to use just 3 - Linked In, Seek and Indeed. Linked In is completely global & Seek integration is supported by almost every competitor in our market natively. Bluescope have de-scoped the full TA suite and are going with SmartRecruiters as a result.	Integration with LinkedIn and Seek job boards in line with competitor capability		6- Negotiate		Integration	Open	0064X000027C6QxQAK	Manufacturing	1
PG-00012435	North America	Site Resource Group - LDPHCM, LDPAM, LDPCCTPP, LDPREC, LDPTLO	Prospect - Land with Core	Talent Management	Talent Acquisition	Screening and Assessments	5	Acceptable to Customer, Planned for Future Release/Roadmap (5)	No	No	Shai Virani	02/11/2026	No CI Notes	ACV 0(K) to 300(K)	Open			24/04/2026	Need for Hiredscore for AI matching capabilities - not feasible in Emerging	AI matching not available with core recruiting	aTEVT0000003HXN4A2	 		AI matching is part of HS vs Core recruiting, with skills match being deprecated,	Would be good to have something remaining in core rec to help with high volume recruiting efforts in EE/ME		4- Pre-Close		Feature	Open	006VT00000iYEnBYAW	Professional & Business Services	1
PG-00012405	North America	Devon Energy Production Company, L.P.-FY29	Core Customer - Expand with Other	Talent Management	Talent Acquisition	Gen AI on Job Requisitions	5	Tolerable, but Requires Some Manual Effort (5)	No	No	Kyle Green	02/10/2026	No CI Notes	ACV 500(K) to 5000(K)	Open			30/11/2028	Customer wants Gen AI to be able to tailor job descriptions more specific to their organization.	More specific Gen aI	aTEVT0000003Gkz4AE	 		Customer wants more tailored Job Descriptions	Use our Gen AI as a starting point.		0- Upcoming		Feature	Open	0064X00002P4vOPQAZ	Energy & Utilities	1
PG-00012365	North America	City of Avondale Arizona	Prospect - Land with Core	Talent Management	Talent Acquisition	Browse Jobs;Career Sites;Job Application Process;Job Postings	4	Requires Significant Manual and/or Costly Workaround (4)	Yes	Yes	Joanne Hilty	02/06/2026	CI Notes	ACV 500(K) to 5000(K)	Open		NeoGov has governmentjobs.com which is a central career site where all government jobs, from all their customers, display for candidate to search and apply. Candidates do not have to go to each employer's website to search for jobs. This website is a significant advantage for NeoGov and WD prospects/customers are concerned about the decline in the number of candidates without a site like this.	28/07/2026	Workday needs a centralized career site for candidates who are looking for Government jobs to view all the jobs in one place.	Governmentjobs.com Career Site	aTEVT0000003FiT4AU	Workday doesn't have a centralized career site for candidates who are looking for Government jobs to view all the jobs in one place. Candidates must go to each individual employer page.		Candidates must go to every employer's individual websites to look for government jobs. Employers run the risk of losing candidates because of the limited exposure of their postings.	Customers can purchase a job posting subscription for governmentjobs.com to advertise their jobs but when applying the application wouldn't go to WD (unless they pay to keep their subscription to neogov which is costly to pay for two systems and do a redirect of sorts on the URL). They would need to create the job posting twice just to get the additional advertising.		5- Selected	Governmentjobs.com Career Site. This is a request being asked by each prospect who has governmentjobs.com advertising currently.	Feature	Open	006VT00000fAyOHYA0	Public Sector	1
PG-00012340	North America	Sprouts - AIRC - TLO	Core Customer - Expand with Non-Core	Talent Management	Talent Acquisition		1	Significantly Contributed to Removal of SKU (1)	No	No	Lynne Allen	02/03/2026	No CI Notes	ACV 500(K) to 5000(K)	34- Merged Opportunity			15/01/2026	Would like there to be more parity between the applications.   feel experience is too disjointed.	"Found the experience of WD Recruiting / HS / Paradox too disjointed - felt like it would like to ""swivel chair"" experience for the recruiter."	aTEVT0000003F5l4AE	 	Representative Capability is not in list	System UI's don't look alike, very different experiences, feel this would lead to confusion.			34- Merged Opportunity		Integration	Open	006VT00000S81ySYAR	Retail	1
PG-00012251	North America	Gilead Sciences - AIRC, AITM, TLOA, CE, MSG, Paradox	Core Customer - Expand with Non-Core	Talent Management	Talent Acquisition		4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Kelly Buckley	01/30/2026	No CI Notes	ACV 500(K) to 5000(K)	Open			31/07/2026	An opportunity for predictive insights like historical data to forecast certain KPIs like TTF, identify bottlenecks	An opportunity for predictive insights like historical data to forecast certain KPIs like TTF, identify bottlenecks	aTEVT0000003CmD4AU	 		An opportunity for predictive insights like historical data to forecast certain KPIs like TTF, identify bottlenecks			4- Pre-Close		Feature	Open	006VT00000h4HJHYA2	Manufacturing	1
PG-00012250	North America	Gilead Sciences - AIRC, AITM, TLOA, CE, MSG, Paradox	Core Customer - Expand with Non-Core	Talent Management	Talent Acquisition	Offers and Employment Agreements	4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Kelly Buckley	01/30/2026	No CI Notes	ACV 500(K) to 5000(K)	Open			31/07/2026	Want AI as apart of offer letter creation	Want AI as apart of offer letter creation	aTEVT0000003Ckb4AE	 		Want AI as apart of offer letter creation			4- Pre-Close		Feature	Open	006VT00000h4HJHYA2	Manufacturing	1
PG-00012249	North America	Gilead Sciences - AIRC, AITM, TLOA, CE, MSG, Paradox	Core Customer - Expand with Non-Core	Talent Management	Talent Acquisition		4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Kelly Buckley	01/30/2026	No CI Notes	ACV 500(K) to 5000(K)	Open			31/07/2026	Candidates engage with their interview panel (example being “thank you” notes) that do not require coordination or intervention by the recruiter or direct access to contact information	Ability to have candidates to contact interview panel	aTEVT0000003Ciz4AE	 		Candidates engage with their interview panel (example being “thank you” notes) that do not require coordination or intervention by the recruiter or direct access to contact information			4- Pre-Close		Feature	Open	006VT00000h4HJHYA2	Manufacturing	1
PG-00012248	North America	Gilead Sciences - AIRC, AITM, TLOA, CE, MSG, Paradox	Core Customer - Expand with Non-Core	Talent Management	Talent Acquisition		4	Requires a 3rd Party Partner or Custom Solution (4)	No	No	Kelly Buckley	01/30/2026	No CI Notes	ACV 500(K) to 5000(K)	Open			31/07/2026	Talent market insights can be automated and integrated with the sourcing/recruiting process.	Ability to have talent market data and analytics standard	aTEVT0000003ChN4AU	 		Talent market insights can be automated and integrated with the sourcing/recruiting process.			4- Pre-Close		Feature	Open	006VT00000h4HJHYA2	Manufacturing	1
PG-00012234	North America	El Paso Water Utilities Public Service Board - Full Platform	Prospect - Land with Core	Talent Management	Talent Acquisition	Candidate Job Application Flow;Job Application Process;Job Requisitions	3	Risk of Removal of SKU from Deal (3)	Yes	Yes	Joanne Hilty	01/29/2026	No CI Notes	ACV 500(K) to 5000(K)	Lost			26/02/2026	"More complex needs for eligible lists that would not be met with the current ""Certificate of Eligibles"" functionality. Including the ability to have rolling eligibility lists (candidates added/removed without the return of the whole certificate). There's a number of other requirements that cannot be met with the current funtionality."	Civil Service Recruiting - Eligibility Lists	aTEVT0000003CMP4A2	State & Local Government		Ability to meet their eligible list recruiting requirements	Keep current system Neogov or build out a solution in Extend potentially		30- Closed/Lost to Competition	Civil Service Recruiting - Eligibility Lists	Feature	Open	006VT00000K5aYoYAJ	Public Sector	1
